aid,location,name,lat,lng,year_built,education,household,parking,complex_facility,move_in_day,subway_distance,convenience_facility
223,서울특별시 금천구 독산동 벚꽃로6길 3,이랜드해가든,37.4608384,126.8930743,2008,3,187,1,0,5419,10,2
224,서울특별시 금천구 시흥동 시흥대로51길 55,성지,37.4510831,126.8978383,1986,5,233,1,0,13270,15,2
225,서울특별시 노원구 공릉동 공릉로 211,동신아파트,37.628077,127.0768608,1999,5,452,1,2,8405,9,7
226,서울특별시 노원구 공릉동 공릉로 213,동신아파트,37.628077,127.0768608,1999,5,452,1,2,8405,9,7
227,서울특별시 노원구 공릉동 동일로173가길 145,건영아파트,37.6245328,127.0714002,1998,4,90,1,0,8675,3,4
228,서울특별시 노원구 공릉동 동일로191가길 26,남청파인힐,37.6262325,127.0713416,2002,5,49,1,0,7426,4,7
229,서울특별시 노원구 공릉동 동일로191길 36,신명아파트,37.6249459,127.0708864,1995,4,69,1,0,10106,5,4
230,서울특별시 노원구 공릉동 동일로195길 39,대동아파트2,37.6265796,127.0699903,1999,4,190,1,0,8461,6,5
231,서울특별시 노원구 공릉동 동일로198길 24,공릉우성아파트,37.6285981,127.0726411,1995,5,363,1,4,9939,7,6
232,서울특별시 노원구 상계동 노원로 532,상계주공9(고층),37.6628519,127.0602666,1988,3,2830,1,9,12478,7,5
233,서울특별시 노원구 상계동 노원로26가길 25,코오롱,37.6527573,127.0697648,1997,3,215,1,0,9099,14,5
234,서울특별시 노원구 상계동 노원로26가길 7,코오롱,37.6527573,127.0697648,1997,3,215,1,0,9099,14,5
235,서울특별시 노원구 상계동 노원로28길 62,한일유앤아이,37.6541806,127.0710889,2005,3,305,1,4,6517,15,5
236,서울특별시 노원구 상계동 덕릉로 780,동아불암,37.6669249,127.0797349,1999,4,1107,1,5,8461,6,7
237,서울특별시 노원구 상계동 덕릉로118길 29,불암현대,37.6677865,127.0812704,1999,3,1298,1,5,8431,5,3
238,서울특별시 노원구 상계동 덕릉로94길 21,상계불암대림,37.6631716,127.0770146,2000,7,840,1,4,8522,8,7
239,서울특별시 노원구 상계동 동일로 1362,상계주공4(고층),37.6500476,127.0622139,1988,3,2136,1,9,12723,9,5
240,서울특별시 노원구 상계동 동일로214길 21,상계주공4(고층),37.6504128,127.064299,1988,3,2136,1,9,12723,9,5
241,서울특별시 노원구 상계동 동일로215길 48,상계주공3(저층),37.6517657,127.0582407,1987,3,2213,0,8,12824,5,4
242,서울특별시 노원구 상계동 동일로216길 92,한양,37.6515825,127.0672761,1988,3,492,1,0,12662,12,4
243,서울특별시 노원구 상계동 동일로227길 25,상계주공11(고층),37.665688,127.0557151,1988,7,1944,0,4,12539,5,7
244,서울특별시 노원구 상계동 동일로227길 85,상계주공11(고층),37.6653602,127.052583,1988,7,1944,0,4,12539,5,7
245,서울특별시 노원구 상계동 동일로227길 86,상계주공16(고층),37.6686255,127.0533712,1988,4,2392,0,6,12478,7,4
246,서울특별시 노원구 상계동 동일로241길 53,두산,37.6773709,127.0531456,1994,3,763,1,0,10318,8,4
247,서울특별시 노원구 상계동 상계로3길 50,노원현대,37.6586789,127.0632818,1997,7,259,1,0,10532,4,5
248,서울특별시 노원구 상계동 상계로3길 53,노원현대,37.6583755,127.0622928,1997,7,259,1,0,10532,4,5
249,서울특별시 노원구 상계동 상계로5길 12,동양엔파트,37.6575352,127.0639274,2003,10,448,1,5,7063,1,9
250,서울특별시 노원구 상계동 상계로7길 18,노원우성,37.6579265,127.0650899,1992,7,137,1,0,11158,5,5
251,서울특별시 노원구 상계동 한글비석로 396,벽산,37.6612726,127.0726949,1989,5,1590,0,8,12297,5,4
252,서울특별시 노원구 상계동 한글비석로 399,벽산,37.6599357,127.0716994,1989,5,1590,0,8,12297,5,4
253,서울특별시 노원구 상계동 한글비석로 479,보람1단지,37.6628678,127.064417,1988,5,3315,1,0,12631,14,4
254,서울특별시 노원구 상계동 한글비석로 480,보람2단지,37.6662467,127.0649923,1988,5,3315,1,0,12631,14,4
255,서울특별시 노원구 상계동 한글비석로 530,상계주공12(고층),37.6660832,127.0592794,1988,7,1739,0,0,12509,3,8
256,서울특별시 노원구 상계동 한글비석로46가길 16,한신1차,37.6659209,127.0687958,1987,4,420,1,0,13148,15,4
257,서울특별시 노원구 상계동 한글비석로46가길 34,한신3차,37.6662587,127.0674235,1990,4,348,0,0,12072,15,4
258,서울특별시 노원구 월계동 광운로 46,대동,37.6218076,127.0603111,1997,5,258,1,0,9556,7,2
259,서울특별시 노원구 월계동 광운로19길 38,성북역신도브래뉴,37.6230565,127.0588488,2005,5,157,1,0,6423,5,2
260,서울특별시 노원구 월계동 마들로 31,한진한화그랑빌,37.6176466,127.0685939,2002,5,3003,1,5,7883,6,5
261,서울특별시 노원구 월계동 석계로 49,현대,37.6184726,127.0626469,2000,6,1281,1,3,8095,8,4
262,서울특별시 노원구 월계동 석계로13길 35,세양청마루,37.6206726,127.0605735,2005,5,115,1,0,6300,6,2
263,서울특별시 노원구 월계동 석계로13길 6-10,한일2,37.6211569,127.0619845,2000,5,171,1,0,8279,6,2
264,서울특별시 노원구 중계동 덕릉로 595,신안,37.6514232,127.0720887,1999,6,250,1,0,8614,15,7
265,서울특별시 노원구 중계동 덕릉로71길 30,양지마을(대림)1,37.6510805,127.0704475,1998,10,976,1,5,8796,14,11
266,서울특별시 노원구 중계동 덕릉로71길 5,성원1,37.6499382,127.069103,1996,6,402,1,0,10591,13,7
267,서울특별시 노원구 중계동 덕릉로73길 28,양지마을(대림)2,37.65314,127.0721422,1999,10,983,1,4,8706,12,11
268,서울특별시 노원구 중계동 덕릉로77길 5,중계3벽산,37.6543472,127.0734928,1999,10,259,1,0,8492,11,11
269,서울특별시 노원구 중계동 덕릉로79길 23,염광,37.6567224,127.0736164,1996,3,791,1,7,9983,8,7
270,서울특별시 노원구 중계동 덕릉로84길 33,중앙하이츠,37.659884,127.0775052,1998,5,499,1,0,10683,6,5
271,서울특별시 노원구 중계동 덕릉로84길 33,중앙하이츠2,37.659884,127.0775052,1998,5,499,1,0,10683,6,5
272,서울특별시 노원구 중계동 덕릉로84길 7,중앙하이츠,37.6598466,127.0765242,1998,5,499,1,0,10683,6,5
273,서울특별시 노원구 중계동 덕릉로84길 7,중앙하이츠2,37.6598466,127.0765242,1998,5,499,1,0,10683,6,5
274,서울특별시 노원구 중계동 덕릉로86길 70,청암3단지(582),37.6602947,127.0789894,2003,5,180,1,0,7042,9,5
275,서울특별시 노원구 중계동 한글비석로 366,신일,37.658358,127.0747916,1998,3,94,1,0,8826,5,7
276,서울특별시 노원구 중계동 한글비석로 383,삼창타워주상프라자,37.6590511,127.0728631,1997,3,203,1,0,9436,3,3
277,서울특별시 노원구 중계동 한글비석로14길 37,중앙하이츠,37.6591309,127.0762599,1998,5,499,1,0,10683,6,5
278,서울특별시 노원구 중계동 한글비석로15길 51,중계현대2,37.6559211,127.0740319,1991,3,313,0,0,11628,8,7
279,서울특별시 노원구 하계동 공릉로 351,청구,37.6378958,127.0686347,1988,6,1860,0,0,12478,1,7
280,서울특별시 노원구 하계동 공릉로58길 176,우방,37.6375943,127.0771679,1999,5,288,1,0,8530,14,6
281,서울특별시 노원구 하계동 한글비석로 57,청구,37.6378958,127.0686347,1988,6,1860,0,0,12478,1,7
282,서울특별시 노원구 하계동 한글비석로 91,하계1청구,37.6392243,127.0715448,1997,6,700,1,7,9344,7,7
283,서울특별시 도봉구 도봉동 도봉로180길 6-23,동아에코빌,37.6814584,127.0468345,2003,5,526,1,5,7335,7,2
284,서울특별시 도봉구 방학동 방학로15길 40,신동아아파트2,37.6591068,127.0234943,1992,6,660,1,7,11078,16,5
285,서울특별시 도봉구 방학동 해등로 307,우성아파트2,37.6568265,127.0219908,1993,6,558,1,0,10987,15,2
286,서울특별시 도봉구 쌍문동 노해로40길 71,브라운스톤쌍문,37.6472808,127.0293876,2006,4,155,1,0,5845,10,1
287,서울특별시 도봉구 쌍문동 노해로40길 72,한양1,37.6457729,127.030316,1986,4,824,1,0,13179,7,1
288,서울특별시 도봉구 쌍문동 우이천로 304,한양1,37.6492052,127.0230667,1986,4,824,1,0,13179,7,1
289,서울특별시 도봉구 창동 노해로63가길 7,상아2차아파트,37.6532577,127.0441024,1988,5,427,1,0,12752,4,7
290,서울특별시 도봉구 창동 노해로63다길 34,동아그린,37.6544747,127.0464077,1996,4,449,1,3,9556,3,5
291,서울특별시 도봉구 창동 노해로69길 103,동아청솔,37.6571794,127.0483916,1997,3,1981,1,5,9344,8,2
292,서울특별시 도봉구 창동 노해로70길 12,동아,37.6511681,127.050345,1988,3,600,1,0,12417,4,6
293,서울특별시 도봉구 창동 노해로70길 126,창동주공18단지,37.646865,127.0520542,1988,4,910,1,0,12448,5,6
294,서울특별시 도봉구 창동 노해로70길 19,주공19단지(창동리버타운),37.6508326,127.0525489,1988,4,1764,0,0,12478,9,6
295,서울특별시 도봉구 창동 노해로70길 54,주공19단지(창동리버타운),37.649242,127.0509338,1988,4,1764,0,0,12478,9,6
296,서울특별시 도봉구 창동 도봉로 642-30,대동,37.6616531,127.0441715,1999,5,188,1,0,8596,10,5
297,서울특별시 도봉구 창동 도봉로136가길 68,금호어울림,37.6563305,127.0417,2004,9,299,1,0,6932,12,5
298,서울특별시 도봉구 창동 도봉로136길 28,북한산아이파크5차,37.6578429,127.0435358,2004,10,2061,2,4,6727,14,5
299,서울특별시 도봉구 창동 마들로 551,쌍용,37.6597623,127.048132,1997,5,1352,1,8,9526,14,4
300,서울특별시 도봉구 창동 마들로16길 56,성원상떼빌,37.6607446,127.0496053,2001,8,194,1,0,7883,15,3
301,서울특별시 도봉구 창동 해등로 49,창동주공3단지(해등마을),37.6477337,127.0423521,1990,4,2856,0,2,11567,7,3
302,서울특별시 도봉구 창동 해등로 50,창동주공3단지(해등마을),37.6500415,127.0436076,1990,4,2856,0,2,11567,7,3
303,서울특별시 도봉구 창동 해등로16길 12,현대조합,37.6558439,127.0406987,2000,4,205,1,0,8485,12,6
304,서울특별시 동대문구 용두동 정릉천동로 16,용두두산위브,37.573435,127.0362211,2009,3,433,1,0,5051,3,4
305,서울특별시 동대문구 이문동 외대역동로 101,중앙하이츠빌,37.5964272,127.0646074,2002,5,372,1,2,7525,3,5
306,서울특별시 동대문구 이문동 이문로12길 3-10,래미안이문2차,37.5934908,127.0603061,2004,3,648,1,3,6819,5,1
307,서울특별시 동대문구 이문동 한천로58길 107,현대,37.6011689,127.0700281,2000,9,789,1,2,8349,7,8
308,서울특별시 동대문구 이문동 한천로58길 139,대우,37.6025131,127.0697838,2001,9,490,1,2,7680,1,8
309,서울특별시 동대문구 이문동 한천로58길 47,쌍용,37.5999747,127.0685006,2000,3,1563,1,6,8066,4,2
310,서울특별시 동대문구 이문동 한천로63길 10,대림e-편한세상,37.6044586,127.0650097,2003,5,1559,1,9,7154,5,2
311,서울특별시 동대문구 전농동 서울시립대로 75,전농동신성미소지움,37.5782644,127.0484176,2005,4,385,1,3,6293,4,3
312,서울특별시 동대문구 제기동 약령시로 25,안암골벽산,37.583412,127.0316859,2003,4,640,1,3,7306,6,3
313,서울특별시 동대문구 휘경동 망우로 135,동양1차,37.5923655,127.067591,2000,5,282,1,0,8279,7,4
314,서울특별시 동대문구 휘경동 망우로 95,롯데,37.590993,127.0634638,2000,5,265,1,0,8187,7,4
315,서울특별시 동대문구 휘경동 외대역동로 14,휘경센트레빌,37.5950437,127.0670982,2011,4,297,1,0,4111,11,5
316,서울특별시 동대문구 휘경동 외대역동로 36,동양2차,37.5923252,127.0665939,2002,5,208,1,0,7486,8,4
317,서울특별시 동작구 노량진동 만양로 19,신동아리버파크,37.5074939,126.9450215,2001,2,1696,1,3,8126,9,1
318,서울특별시 동작구 노량진동 만양로 84,삼익,37.5111191,126.9451481,2001,6,175,2,0,8796,6,4
319,서울특별시 동작구 노량진동 장승배기로16길 134,쌍용예가,37.5097879,126.9435957,2010,3,299,0,0,4510,10,2
320,서울특별시 동작구 대방동 등용로14길 34,신한토탈,37.5118828,126.9330705,1997,9,134,0,0,9191,9,6
321,서울특별시 동작구 대방동 알마타길 37,대방1차e-편한세상,37.5120199,126.9289027,2003,9,609,1,7,7124,3,4
322,서울특별시 동작구 대방동 알마타길 58,현대홈타운2,37.5108168,126.9313642,1999,9,278,1,0,8369,10,5
323,서울특별시 동작구 대방동 여의대방로44길 10,대림아파트,37.5071867,126.9246398,1993,5,1628,2,5,10652,11,4
324,서울특별시 동작구 대방동 여의대방로54길 6,경남아너스빌,37.5115575,126.9257071,2006,8,163,1,0,6119,3,2
325,서울특별시 동작구 대방동 여의대방로62길 15,한국개나리,37.5141488,126.9287817,1997,9,90,1,0,9375,2,3
326,서울특별시 동작구 본동 매봉로 123,삼성래미안,37.509996,126.9502629,2004,5,477,1,4,6636,4,2
327,서울특별시 동작구 사당동 동작대로29길 110,신동아4,37.4897954,126.9760224,1993,3,855,2,0,11048,8,4
328,서울특별시 동작구 사당동 동작대로29길 115,사당우성3,37.4897954,126.9760224,1993,3,855,2,0,11048,8,4
329,서울특별시 동작구 사당동 동작대로29길 119,극동(105),37.4897954,126.9760224,1993,3,855,2,0,11048,8,4
330,서울특별시 동작구 사당동 동작대로29길 91,사당우성2,37.4897954,126.9760224,1993,3,855,2,0,11048,8,4
331,서울특별시 동작구 사당동 사당로 165,경남아너스빌2차,37.4872207,126.9676967,1998,7,120,1,0,9010,6,1
332,서울특별시 동작구 사당동 사당로 300,이수자이,37.4843975,126.9804278,2010,6,140,2,0,4383,1,3
333,서울특별시 동작구 사당동 사당로17길 111,현대주택조합,37.4879821,126.9703763,1993,2,81,1,0,11201,4,3
334,서울특별시 동작구 사당동 사당로23바길 9,삼성래미안,37.4891824,126.9704888,2003,4,896,1,7,7259,8,3
335,서울특별시 동작구 상도동 상도로 320,중앙하이츠빌,37.4991652,126.9498321,2003,6,544,1,6,7001,7,2
336,서울특별시 동작구 상도동 상도로60길 20,대림아파트,37.492976,126.9534978,1995,5,279,2,0,9892,4,7
337,서울특별시 동작구 상도동 장승배기로 26,아이파크,37.5006911,126.9426009,2004,4,400,1,8,6819,8,1
338,서울특별시 동작구 상도동 장승배기로4길 9,포스코더샵,37.5019956,126.9429851,2007,4,1122,2,9,5572,7,1
339,서울특별시 동작구 신대방동 신대방1가길 38,성원상떼빌,37.4875294,126.9067493,2006,3,545,3,8,5966,8,4
340,서울특별시 동작구 신대방동 여의대방로 8,우성2,37.4928247,126.9104435,1995,3,174,2,0,10318,15,5
341,서울특별시 동작구 흑석동 흑석한강로 12,흑석한강센트레빌,37.5055479,126.965852,2011,2,655,1,0,4298,5,1
342,서울특별시 마포구 공덕동 마포대로 115-8,공덕1삼성래미안,37.548003,126.950907,1999,4,877,1,9,8492,4,2
343,서울특별시 마포구 공덕동 마포대로 167,래미안공덕5차,37.5468697,126.9521717,2011,4,794,1,0,4146,11,3
344,서울특별시 마포구 공덕동 마포대로 173-15,래미안공덕5차,37.5502308,126.9527502,2011,4,794,1,0,4146,11,3
345,서울특별시 마포구 공덕동 마포대로10길 22,한화꿈에그린,37.547016,126.9553354,2004,4,192,1,0,6697,8,3
346,서울특별시 마포구 공덕동 마포대로20길 26,공덕2삼성래미안,37.5510698,126.9595251,2004,4,882,1,2,7518,14,2
347,서울특별시 마포구 공덕동 마포대로7길 22,공덕3삼성래미안,37.5484028,126.951783,2004,3,616,1,2,6696,9,3
348,서울특별시 마포구 노고산동 백범로 10,현대벤처빌,37.5484619,126.9394891,2002,3,203,1,0,7316,3,5
349,서울특별시 마포구 대흥동 독막로 266,마포태영,37.5439465,126.9432788,1999,6,1992,1,4,8431,9,2
350,서울특별시 마포구 도화동 도화4길 41,마포동원베네스트,37.5401034,126.952302,2010,4,167,1,0,4984,6,5
351,서울특별시 마포구 도화동 도화길 28,삼성,37.540034,126.9503703,1997,3,982,1,8,10410,5,3
352,서울특별시 마포구 도화동 도화길 28,삼성(550-0),37.540034,126.9503703,1997,3,982,1,8,10410,5,3
353,서울특별시 마포구 도화동 삼개로 33,우성,37.5367676,126.9485265,1991,8,1222,1,6,12083,7,6
354,서울특별시 마포구 도화동 삼개로 38,우성,37.5364129,126.9470458,1991,8,1222,1,6,12083,7,6
355,서울특별시 마포구 도화동 새창로8길 72,현대홈타운,37.5378342,126.9517522,2000,5,914,1,7,8340,8,3
356,서울특별시 마포구 상암동 상암산로1길 24,상암월드컵파크4단지,37.5776394,126.8886338,2006,3,761,1,3,5912,10,4
357,서울특별시 마포구 상암동 상암산로1길 52,상암월드컵파크5단지,37.5802252,126.8859404,2005,3,436,1,2,6308,12,4
358,서울특별시 마포구 상암동 상암산로1길 57,상암월드컵파크6단지,37.5796765,126.8845108,2005,3,484,2,7,6375,14,4
359,서울특별시 마포구 상암동 월드컵북로42가길 11,DMC상암센트럴파크2단지,37.574948,126.8968915,2009,4,184,1,0,4932,4,6
360,서울특별시 마포구 서교동 홍익로 10,서교푸르지오,37.553716,126.9236241,2004,2,136,2,0,6605,6,3
361,서울특별시 마포구 성산동 모래내로9길 6,월드컵아이파크(667),37.5674474,126.9146278,2009,3,320,1,0,5115,3,3
362,서울특별시 마포구 성산동 성산로4길 75,대원,37.5644327,126.9102435,1999,4,112,1,0,8614,10,2
363,서울특별시 마포구 성산동 성암로1길 8,성사1차풍림아파트101동,37.5683037,126.9122179,2000,3,172,1,0,8323,3,3
364,서울특별시 마포구 성산동 월드컵북로 216,성산2차e-편한세상,37.5696152,126.9053837,2005,3,189,1,0,6366,12,3
365,서울특별시 마포구 성산동 월드컵북로30길 9-22,성산월드타운대림,37.5694501,126.9080502,2004,3,795,1,5,7321,8,3
366,서울특별시 마포구 신공덕동 만리재로 60,신공덕래미안3차,37.5454024,126.9568811,2003,5,366,1,0,7520,10,5
367,서울특별시 마포구 신공덕동 만리재로 74,신공덕래미안2차,37.5464743,126.9581687,2000,5,561,1,3,8126,9,5
368,서울특별시 마포구 신공덕동 백범로 212,대우월드마크마포,37.542371,126.953362,2011,5,132,2,0,4049,1,3
369,서울특별시 마포구 신공덕동 백범로 239,신공덕e편한세상,37.5419263,126.956889,2007,5,128,1,0,5762,7,5
370,서울특별시 마포구 신공덕동 백범로37길 12,신공덕1차삼성래미안1아파트,37.5434415,126.9557271,2000,5,1210,1,3,8248,2,5
371,서울특별시 마포구 신수동 독막로 209,세양청마루,37.5468417,126.934558,2003,1,192,1,0,7093,5,3
372,서울특별시 마포구 신수동 독막로28길 7,신수동성원,37.5467393,126.9375486,1998,3,260,1,0,9130,7,3
373,서울특별시 마포구 염리동 독막로 289,중앙하이츠,37.5450924,126.9451956,1998,6,114,1,2,8796,7,4
374,서울특별시 마포구 염리동 백범로25길 63,염리삼성래미안,37.5488472,126.9466457,2001,5,683,1,8,8038,9,3
375,서울특별시 마포구 중동 성암로11길 60,DMC마포청구아파트,37.5741626,126.9017449,1994,4,420,1,0,10713,7,3
376,서울특별시 마포구 중동 성암로7길 3,현대,37.5705455,126.9085153,2000,3,282,1,0,8065,8,2
377,서울특별시 마포구 창전동 독막로 145,서강예가,37.5483973,126.9296137,2007,4,635,1,0,5541,6,3
378,서울특별시 마포구 창전동 서강로 53,서강예가,37.5482267,126.9297462,2007,4,635,1,0,5541,6,3
379,서울특별시 마포구 창전동 창전로 45,서강오벨리스크스위트,37.5465423,126.9317948,2007,5,192,2,0,5740,3,3
380,서울특별시 서대문구 냉천동 독립문로14길 33,돈의문센트레빌,37.5661135,126.9615707,2011,8,681,0,0,4286,7,3
381,서울특별시 서대문구 냉천동 독립문로14길 74,동부센트레빌,37.5665955,126.9601309,2002,4,313,1,2,7590,10,3
382,서울특별시 서대문구 북가좌동 거북골로 154,북가좌삼호,37.576336,126.913249,1996,4,883,1,2,9878,14,4
383,서울특별시 서대문구 북가좌동 거북골로14길 32,DMC아이파크,37.5763376,126.9145067,2009,2,362,1,0,5121,15,2
384,서울특별시 서대문구 북가좌동 수색로 102,요진,37.5727485,126.9083156,1998,5,90,0,0,8877,11,4
385,서울특별시 서대문구 북가좌동 수색로 147-1,신일해피트리,37.5749761,126.9044544,2005,5,111,1,0,6272,5,4
386,서울특별시 서대문구 북가좌동 수색로 154,월드컵현대,37.5761568,126.904393,1998,5,254,1,0,8796,4,4
387,서울특별시 서대문구 북가좌동 수색로 157,DMC이랜드해가든,37.576165,126.9032381,2007,4,99,1,0,5649,3,2
388,서울특별시 서대문구 북가좌동 응암로 33,DMC현대아파트,37.5766505,126.9076869,2000,5,213,1,0,10106,7,4
389,서울특별시 서대문구 북가좌동 증가로30길 8,DMC서부인터빌,37.5832499,126.9130885,2008,5,69,1,0,5418,5,2
390,서울특별시 서대문구 연희동 동교로 291,임광,37.5652455,126.9270679,1999,6,212,1,0,8706,15,4
391,서울특별시 서대문구 연희동 연희로 38-20,대우푸르지오,37.5615698,126.929415,2002,5,562,1,4,7459,9,4
392,서울특별시 서대문구 현저동 독립문공원길 17,독립문극동(200-0),37.5719809,126.9567437,1998,3,1900,1,7,8899,9,2
393,서울특별시 서대문구 홍제동 통일로34길 43,홍제원현대(459-0),37.5877692,126.9494761,2000,3,1421,1,2,9013,8,4
394,서울특별시 서대문구 홍제동 통일로39가길 57,홍제현대,37.588844,126.9412984,1992,8,704,1,0,11322,4,3
395,서울특별시 서초구 반포동 고무래로 35,반포리체,37.5035723,127.0134864,2010,5,1119,2,0,4446,10,3
396,서울특별시 서초구 반포동 반포대로 275,래미안퍼스티지,37.5027777,126.9983054,2009,4,2444,2,0,4917,6,3
397,서울특별시 서초구 반포동 사평대로 154,현대동궁아파트,37.5005322,127.0019137,1991,2,224,1,0,11506,4,2
398,서울특별시 서초구 반포동 사평대로 240,반포미도2차아파트,37.5021688,127.0075039,1989,3,435,1,4,12448,1,3
399,서울특별시 서초구 반포동 서초중앙로 220,반포래미안아이파크,37.5017333,127.013169,2018,1,829,2,0,1583,5,5
400,서울특별시 서초구 반포동 서초중앙로29길 28,반포미도,37.5013408,127.0090224,1987,1,1260,1,5,13513,9,4
401,서울특별시 서초구 반포동 신반포로 270,반포자이,37.5083239,127.0155074,2009,4,3410,2,0,5127,3,3
402,서울특별시 서초구 방배동 동작대로 108,디오수페리움2,37.4860508,126.9826057,2006,7,55,2,0,6027,1,2
403,서울특별시 서초구 방배동 명달로 33,삼환나띠르빌(1002-8),37.479935,127.0055345,2003,5,126,0,0,7215,13,2
404,서울특별시 서초구 방배동 방배로13길 18,방배아크로타워,37.4830983,126.9952767,2007,5,116,2,0,5723,5,1
405,서울특별시 서초구 방배동 방배로19길 67,방배브라운가,37.4835189,126.9917625,2006,6,161,1,0,7185,9,3
406,서울특별시 서초구 방배동 방배선행길 2,삼성래미안1,37.4727532,126.9839855,2003,8,303,1,0,7032,7,5
407,서울특별시 서초구 방배동 서초대로 3-4,방배디오슈페리움Ⅰ,37.4860394,126.9830638,2006,3,80,4,0,5874,2,2
408,서울특별시 서초구 방배동 서초대로1길 2,한진로즈힐,37.4867407,126.9835123,2005,7,84,1,0,6528,4,2
409,서울특별시 서초구 방배동 서초대로1길 34,방배2차현대홈타운,37.4901241,126.9837276,2001,6,384,1,0,7788,4,2
410,서울특별시 서초구 방배동 효령로 84,대우(효령),37.4796635,126.9938925,1992,6,364,1,0,10987,11,3
411,서울특별시 서초구 방배동 효령로33길 50,서리풀e편한세상,37.4839011,126.9984568,2010,6,496,2,0,4712,7,2
412,서울특별시 서초구 방배동 효령로34길 79,삼익,37.4787922,127.0014386,1981,5,408,1,0,15005,9,1
413,서울특별시 서초구 서초동 강남대로39길 5,두산위브(1362),37.4861825,127.0326188,2005,3,78,1,0,6393,4,4
414,서울특별시 서초구 서초동 강남대로53길 11,서초동삼성쉐르빌2,37.4939235,127.0278995,2002,4,365,1,2,7586,4,5
415,서울특별시 서초구 서초동 고무래로 94,서초4현대,37.500292,127.0182954,2000,4,160,2,0,8095,10,5
416,서울특별시 서초구 서초동 남부순환로317길 34,래미안서초4차,37.481024,127.0107482,2005,7,56,2,0,6413,11,4
417,서울특별시 서초구 서초동 남부순환로323길 38-15,서초한신,37.4825776,127.0144307,2001,6,194,2,0,7687,6,5
418,서울특별시 서초구 서초동 남부순환로323길 38-16,서초한신,37.4825776,127.0144307,2001,6,194,2,0,7687,6,5
419,서울특별시 서초구 서초동 남부순환로337가길 51-9,신원아침도시(1434),37.484451,127.0236746,2004,7,40,1,0,6696,11,5
420,서울특별시 서초구 서초동 남부순환로337가길 52,신원아침도시(1420),37.4844041,127.0243265,2005,3,88,1,0,6214,8,6
421,서울특별시 서초구 서초동 반포대로23길 71,현대홈타운,37.4884593,127.0053593,2005,5,68,0,0,6438,8,1
422,서울특별시 서초구 서초동 사임당로14길 10,서초로얄,37.4886106,127.0173051,2001,2,40,1,0,7853,8,3
423,서울특별시 서초구 서초동 사임당로17길 116,서초삼성래미안,37.4932689,127.0196731,2001,7,299,2,0,7914,8,4
424,서울특별시 서초구 서초동 사임당로19길 10,서초현대,37.4906242,127.0200887,1999,7,299,1,0,8432,12,4
425,서울특별시 서초구 서초동 사임당로23길 53,아남,37.4930744,127.02088,1989,7,166,1,6,12052,12,4
426,서울특별시 서초구 서초동 사평대로56길 7,서초한일유앤아이주상복합,37.5031698,127.0234988,2007,3,60,2,0,5632,3,4
427,서울특별시 서초구 서초동 서운로 194,서초두산위브트레지움,37.500505,127.0232326,2008,2,98,2,0,5226,10,5
428,서울특별시 서초구 서초동 서운로 197,롯데캐슬클래식,37.5003349,127.0220553,2006,4,990,2,4,6050,7,6
429,서울특별시 서초구 서초동 서운로 200,롯데캐슬클래식,37.5003349,127.0220553,2006,4,990,2,4,6050,7,6
430,서울특별시 서초구 서초동 서운로 221,래미안서초스위트,37.5021291,127.0204507,2009,4,392,1,0,5083,6,6
431,서울특별시 서초구 서초동 서운로3길 29,우정에쉐르,37.4846578,127.0285397,2004,3,77,1,0,6662,9,4
432,서울특별시 서초구 서초동 서운로9길 63,동원베네스트아파트,37.4850992,127.0267723,2002,3,126,1,0,7336,13,5
433,서울특별시 서초구 서초동 서초대로64길 31,서초한일,37.4943827,127.0210959,1997,7,86,1,0,9222,9,4
434,서울특별시 서초구 서초동 서초대로64길 36,대성유니드,37.4938184,127.0208511,2004,7,83,2,4,6880,10,4
435,서울특별시 서초구 서초동 서초대로65길 13-10,서초래미안,37.4987627,127.0186049,2003,7,1129,2,5,7170,11,5
436,서울특별시 서초구 서초동 서초대로74길 29,서초파라곤,37.4949034,127.0274129,2005,3,60,2,0,6269,4,4
437,서울특별시 서초구 서초동 서초대로74길 30,우성아파트,37.4947315,127.0267841,1998,4,408,1,0,9740,6,5
438,서울특별시 서초구 서초동 서초중앙로 200,삼풍아파트,37.4985336,127.0155431,1988,2,2390,2,0,12692,8,4
439,서울특별시 서초구 서초동 서초중앙로24길 33,서초교대e편한세상,37.4964774,127.0171601,2010,4,435,0,0,4622,4,3
440,서울특별시 서초구 서초동 서초중앙로24길 43,유원서초,37.4962524,127.0182815,1993,3,590,1,0,11109,5,2
441,서울특별시 서초구 서초동 서초중앙로24길 57,서초롯데캐슬프레지던트,37.4965718,127.0198437,2014,8,280,0,0,2969,8,3
442,서울특별시 서초구 서초동 서초중앙로2길 21,더샵서초,37.4839571,127.01811,2006,9,329,3,0,6089,4,4
443,서울특별시 서초구 서초동 효령로 237,서초한신리빙타워,37.4841423,127.0099699,1999,5,104,2,0,8796,9,5
444,서울특별시 서초구 서초동 효령로67길 35,극동스타클래스2,37.4887317,127.0228895,2006,7,60,1,0,5956,12,5
445,서울특별시 서초구 서초동 효령로68길 13,현대아파트,37.4864642,127.024908,1989,3,412,1,0,12066,13,6
446,서울특별시 서초구 서초동 효령로68길 81,서초자이,37.4849592,127.0201944,2006,3,184,2,0,6093,5,3
